,Keywords,Frequency
0,problem,284
1,risk,34
2,argument,34
3,lack,27
4,pay,25
5,demand,19
6,pain,13
7,failure,13
8,difficulty,11
9,conflict,10
10,war,10
11,trouble,10
12,fraud,10
13,restriction,9
14,error,9
15,gun,9
16,crap,8
17,block,8
18,mistake,8
19,complaint,8
20,disagreement,8
21,crime,8
22,loss,8
23,waste,7
24,doubt,7
25,shit,7
26,victim,7
27,harm,7
28,hard time,6
29,real problem,6
30,technical debt,6
31,mess,6
32,problem space,6
33,fear,6
34,death,6
35,pain point,6
36,hell,6
37,struggle,6
38,battle,6
39,cut,6
40,cancer,6
41,business problem,6
42,negativity,5
43,fuck,5
44,limitation,5
45,pressure,5
46,debt,5
47,stress,5
48,frustration,5
49,discord,5
50,logical argument,5
51,burden,5
52,trick,5
53,suspicion,5
54,threat,5
55,fault,4
56,worry,4
57,high demand,4
58,critical part,4
59,suck,4
60,obstacle,4
61,bother,4
62,distraction,4
63,many problem,4
64,bad idea,4
65,violence,4
66,downside,4
67,attack,4
68,accident,4
69,big problem,4
70,idiot,4
71,block list,4
72,wrong thing,4
73,hard problem,4
74,problem wa,4
75,depression,4
76,problem youx27re,3
77,simple problem,3
78,complex problem,3
79,recession,3
80,wrong way,3
81,insecurity,3
82,stop,3
83,difficult problem,3
84,ghost,3
85,scam,3
86,protest,3
87,criticism,3
88,spam,3
89,shoot,3
90,barrier,3
91,weird thing,3
92,shame,3
93,offline,3
94,warning,3
95,boring stuff,3
96,sorry,3
97,rejection,3
98,jerk,3
99,engineering problem,3
