,Keywords,Frequency
0,amazon,39
1,number,15
2,top,10
3,swift,10
4,support,8
5,profit,8
6,matter,8
7,adventure,7
8,joy,7
9,security,7
10,value,7
11,share,7
12,energy,7
13,fun,6
14,ha,6
15,friend,6
16,apple ha,5
17,hand,5
18,solution,5
19,gentle introduction,5
20,praise,5
21,creation,5
22,ability,5
23,challenge,5
24,google play store,4
25,consent,4
26,free software,4
27,talent,4
28,renewable energy,4
29,artificial intelligence,4
30,vision,4
31,dark matter,4
32,thank,3
33,facebook ha,3
34,united state,3
35,reward,3
36,chance,3
37,well,3
38,kind,3
39,quantum supremacy,3
40,amazon ha,3
41,phone number,3
42,promise,3
43,love,3
44,help,3
45,growth,3
46,optimization,3
47,natural language processing,3
48,security key,3
49,beauty,3
50,party,3
51,natural language,3
52,success,3
53,hope,3
54,diamond,3
55,truth,3
56,spark,3
57,microsoft ha,2
58,u supreme court,2
59,justice department,2
60,increase,2
61,supreme court,2
62,smart tv,2
63,brave,2
64,dream,2
65,amazon s3,2
66,statistical significance,2
67,want,2
68,benefit,2
69,friendship,2
70,dynamic programming,2
71,apology,2
72,favor,2
73,small number,2
74,stable release,2
75,top pdfs,2
76,efficiency,2
77,excel,2
78,smart people,2
79,amazon choice,2
80,thanks,2
81,free speech,2
82,credit,2
83,welcome,2
84,sentence,2
85,hero,2
86,effective way,2
87,security flaw,2
88,software security,2
89,popularity,2
90,prime number,2
91,join,2
92,progress,2
93,defence,2
94,meritocracy,2
95,security risk,2
96,interest,2
97,happiness,2
98,feeling,2
99,productmarket fit,2
