id,points
21567022,1543
21577156,894
21572622,629
21567481,575
21567556,356
21576936,384
21572827,655
21572264,373
21578319,239
21567876,412
21579333,304
21576646,288
21572552,801
21565372,194
21566530,214
21567063,159
21575310,137
21570219,126
21578345,150
21575391,123
21573072,482
21575614,212
21575963,95
21573694,135
21575894,188
21571938,241
21567053,88
21567845,64
21555586,79
21578769,166
21565624,1014
21565841,449
21567817,302
21566921,194
21563309,474
21567929,106
21567707,231
21564796,296
21566546,233
21565391,169
21567746,141
21568100,167
21561652,312
21567912,96
21561613,253
21565093,234
21561435,336
21547945,148
21558343,144
21567841,88
21559646,78
21553527,96
21561506,100
21561803,118
21557469,161
21563871,380
21554986,214
21560660,140
21561715,52
21567630,75
21558250,871
21558793,590
21560101,484
21559139,416
21559526,240
21551585,224
21559633,327
21559918,242
21555740,204
21557309,571
21560177,124
21559568,105
21557902,351
21558013,256
21555238,362
21557890,249
21551774,99
21560083,149
21558684,167
21555954,156
21534568,100
21556192,156
21555041,93
21556501,178
21534390,124
21557057,131
21551566,139
21556472,88
21535054,100
21542209,50
21549826,521
21553882,328
21553496,280
21549460,534
21554416,168
21534990,259
21546539,263
21553711,108
21554459,250
21545425,368
21553923,104
21551868,147
21535657,142
21552425,178
21552446,116
21539474,85
21555168,107
21534614,196
21552928,71
21530010,62
21550516,144
21533395,89
21534283,77
21533519,104
21554087,69
21551540,284
21537502,56
21553018,76
21552119,205
21552923,66
21542753,631
21537528,658
21544864,508
21545493,442
21546682,739
21546382,199
21542054,528
21547312,230
21545145,351
21534133,495
21543377,452
21547659,415
21546534,109
21548757,188
21541372,296
21542184,340
21547373,327
21547369,122
21545291,127
21544537,247
21535056,109
21540051,151
21535144,125
21534048,64
21534226,110
21544947,151
21535498,133
21534199,209
21535562,215
21542125,169
21536789,1473
21538460,871
21535495,484
21536698,445
21535630,434
21533049,395
21537314,220
21533791,324
21535083,300
21539854,272
21538748,165
21538236,199
21536012,181
21538235,190
21536077,167
21532937,223
21531162,143
21536468,202
21534167,108
21532795,253
21536750,228
21530663,192
21537854,110
21530917,139
21525198,116
21533799,185
21533162,300
21533746,136
21532821,37
21540442,135
21523780,1840
21530860,1572
21525592,1006
21525878,910
21522522,276
21521472,640
21528425,425
21527667,524
21528332,413
21526284,374
21518549,363
21527188,233
21513771,412
21527268,332
21518152,288
21522464,196
21519901,201
21519909,167
21522830,285
21520129,258
21529548,173
21521048,140
21519077,150
21521179,191
21519278,144
21524600,203
21521774,218
21522898,192
21528854,138
21525891,113
21517722,2062
21513337,1090
21515181,664
21518422,570
21515725,404
21518558,367
21512092,434
21515772,381
21510894,425
21510262,389
21513871,236
21509144,213
21516320,280
21516565,223
21510495,483
21511411,292
21513261,195
21515547,232
21513310,454
21517613,151
21517296,138
21510323,122
21513790,207
21509715,84
21509269,95
21513318,198
21512890,168
21516392,101
21513059,195
21510721,160
21504672,797
21508542,638
21508210,327
21504862,427
21508495,180
21493183,335
21508339,245
21505986,224
21504023,392
21505305,299
21506588,209
21500672,248
21507876,126
21505449,190
21501902,170
21492049,173
21500153,206
21508552,69
21499761,177
21502388,239
21507383,124
21490889,164
21503049,521
21481852,230
21500434,124
21509373,147
21507370,399
21501273,94
21495862,77
21502292,143
21496164,436
21496018,395
21490731,366
21495685,415
21497488,927
21495516,253
21498994,242
21495338,222
21499767,193
21500409,181
21490594,172
21499052,179
21492596,318
21481754,253
21497656,157
21483823,131
21500344,249
21498107,227
21489877,178
21481045,78
21481795,142
21481598,78
21481783,92
21490305,100
21496340,103
21490364,90
21498355,39
21496339,70
21481849,87
21471426,51
21492782,914
21490850,812
21484215,852
21490714,595
21490654,508
21492394,393
21493761,369
21488038,205
21481540,183
21487423,117
21480761,188
21493410,141
21488415,306
21490151,266
21480981,50
21492345,152
21492880,148
21491681,181
21480482,153
21481514,63
21481656,154
21482993,112
21493111,86
21491648,115
21491879,140
21491033,142
21485826,36
21490117,121
21486042,60
21490949,88
21484250,371
21476261,642
21483256,211
21480548,214
21482904,191
21473098,188
21482937,391
21486002,184
21486494,349
21480777,230
21485962,117
21480614,265
21483337,109
21461652,282
21479104,52
21479773,278
21486430,509
21486278,71
21486124,93
21471545,63
21472492,118
21462494,52
21483597,134
21484347,572
21483252,112
21482372,133
21479017,151
21483933,337
21469514,40
21484321,88
21473259,1102
21467921,712
21471091,135
21473108,370
21472052,470
21473122,514
21473265,501
21469020,331
21476451,185
21472916,173
21472024,95
21462190,125
21469295,412
21474271,361
21466104,136
21463657,86
21477490,177
21472817,167
21466196,169
21455120,104
21470099,92
21461640,91
21461701,145
21473220,193
21472752,98
21477695,116
21462221,82
21470398,202
21473934,75
21468788,102
21465056,540
21465563,389
21465873,500
21465446,238
21456817,415
21465641,299
21460457,370
21465918,278
21466812,264
21467478,213
21464971,317
21461957,233
21459237,431
21464189,229
21462120,457
21456084,209
21464272,169
21462832,206
21463162,618
21466362,175
21461617,448
21459839,344
21466333,107
21459474,170
21457207,108
21460759,264
21458595,157
21457259,83
21461911,152
21458996,209
21447215,1675
21454153,706
21454344,583
21454273,266
21454727,185
21452266,492
21453782,199
21452953,282
21454383,325
21447459,324
21451434,344
21455941,142
21451564,233
21456831,90
21448449,178
21448078,316
21447528,163
21446317,175
21454083,121
21451695,208
21452326,188
21449203,293
21451016,294
21453318,115
21444928,168
21446786,116
21451847,631
21449444,137
21448766,92
21449919,190
21438318,665
21437334,828
21440526,884
21446079,288
21440932,354
21438418,298
21440508,415
21445563,296
21444564,372
21438075,349
21443038,291
21440491,291
21440456,332
21442485,184
21440582,225
21446747,154
21437409,151
21439340,211
21441273,144
21439192,233
21437037,150
21438152,491
21445039,76
21439918,295
21442448,127
21440549,185
21445448,92
21440873,261
21439089,120
21442807,336
21431071,1460
21430321,867
21435195,771
21430997,593
21430835,394
21431023,387
21436414,338
21430574,310
21430337,151
21436448,318
21430745,132
21434844,230
21437255,395
21436403,181
21429621,381
21430717,88
21436356,204
21436244,226
21435025,170
21434604,87
21433217,324
21431791,115
21434355,114
21432468,147
21426056,121
21433078,247
21436355,111
21434275,87
21433221,254
21432467,121
21421365,616
21429697,414
21419534,133
21430157,346
21427996,417
21429136,244
21416682,247
21430039,237
21422780,99
21427058,384
21425804,326
21417262,174
21427556,186
21426315,207
21427013,186
21430275,90
21429286,114
21425542,144
21416732,104
21426793,150
21427217,665
21421605,118
21427363,116
21427036,123
21425855,177
21425877,218
21423612,122
21427059,123
21428341,87
21429250,135
21421195,802
21418232,946
21419536,402
21420061,393
21414882,818
21420732,182
21416673,611
21417381,432
21418033,783
21420076,184
21422380,228
21423019,333
21420084,231
21417859,283
21414565,355
21417965,332
21418251,163
21415488,228
21418882,124
21416709,63
21415160,142
21416614,236
21415946,315
21417026,245
21406356,163
21421591,184
21420170,95
21418120,116
21410708,150
21423263,83
21411312,686
21408178,1324
21410833,593
21412356,511
21404694,346
21406192,457
21407727,294
21405188,355
21404423,240
21413174,205
21411893,270
21411267,234
21409066,238
21407531,356
21405422,230
21413020,193
21406038,186
21404312,110
21402717,141
21404156,103
21405214,130
21403022,215
21405519,154
21406355,111
21411104,119
21411707,168
21412596,147
21391238,83
21409744,154
21408741,180
21401973,2447
21401614,460
21401198,516
21400809,346
21393758,639
21397996,1269
21394678,568
21394262,319
21394290,358
21400376,178
21395629,439
21402518,383
21402563,150
21401282,239
21399034,697
21398025,201
21394852,249
21394764,260
21396127,261
21403091,147
21383016,196
21384065,113
21397790,291
21393585,155
21383765,171
21394222,151
21387610,130
21394352,123
21385796,181
21384393,98
21384158,875
21392564,534
21382470,502
21390563,602
21388022,380
21387480,361
21388715,341
21392803,209
21383138,208
21383889,230
21383439,228
21385713,203
21382709,281
21391195,143
21384396,195
21392784,344
21385013,194
21384191,177
21384333,196
21392007,183
21387254,195
21389657,599
21388834,176
21380137,122
21386932,147
21384266,152
21384800,141
21384661,307
21385857,179
21383443,210
21376744,830
21378471,561
21380077,366
21373800,502
21378858,268
21380092,229
21376838,315
21380227,309
21380138,189
21373852,476
21377517,227
21377769,146
21378161,95
21373487,232
21376286,186
21378535,189
21377892,377
21372784,177
21377886,216
21369210,136
21377353,143
21374308,284
21372613,122
21373301,226
21373603,223
21371622,68
21381529,99
21374204,144
21373086,64
21379174,877
21372822,238
21371642,321
21369866,341
21367151,427
21365817,141
21370246,413
21369003,306
21368567,196
21366349,192
21368932,226
21370025,167
21370508,152
21369733,251
21362382,408
21367029,140
21370605,174
21366945,157
21370525,155
21366618,80
21362190,209
21371658,108
21361988,130
21368123,179
21369007,157
21362024,183
21369377,170
21367691,141
21369310,110
21358901,64
21370501,117
21363383,476
21363121,636
21357634,172
21361845,197
21365391,144
21361849,321
21358587,236
21365281,238
21362470,128
21364413,147
21361992,201
21362039,150
21366177,119
21362200,251
21357509,125
21360851,115
21352277,132
21358007,192
21352380,99
21364339,97
21356998,124
21353537,70
21360605,137
21360181,80
21361628,154
21355575,103
21363217,180
21358012,56
21362182,95
21362171,119
21353920,1232
21360115,701
21359239,284
21358040,212
21352161,475
21350091,359
21352907,97
21352508,556
21352045,431
21353020,288
21350246,382
21350290,303
21355631,140
21358674,125
21359394,186
21358531,644
21356511,351
21340595,243
21358610,131
21337260,427
21352631,235
21352596,300
21352345,191
21352305,184
21345142,119
21353123,118
21357526,95
21352279,155
21353861,165
21358288,226
21343241,765
21346272,788
21343761,623
21346290,446
21342648,324
21341597,324
21341057,241
21346307,368
21346387,341
21349180,247
21342317,218
21349230,155
21340636,217
21343860,132
21340794,108
21328195,177
21337470,170
21342371,140
21347890,94
21346435,128
21340303,115
21340754,242
21349404,96
21340548,204
21340768,71
21347820,148
21342501,216
21342692,199
21339873,88
21339750,102
21338257,1198
21332768,701
21332072,1474
21330984,641
21333063,1128
21334510,452
21330678,537
21336804,502
21330761,442
21337863,372
21336850,208
21339204,308
21329655,244
21337330,275
21333105,417
21329870,190
21338391,242
21336705,186
21328296,222
21328923,101
21337594,256
21336374,137
21327443,142
21335975,225
21330663,92
21337410,76
21332283,186
21338912,332
21330500,120
21334964,311
21323663,1595
21324768,1331
21325295,836
21324273,526
21322291,433
21323292,658
21318704,642
21322517,757
21325138,318
21321430,556
21327114,290
21325962,171
21323396,283
21324996,147
21320460,246
21321331,365
21326484,408
21328809,157
21318504,357
21318475,161
21328219,104
21320977,241
21315309,193
21322266,200
21321725,236
21322712,300
21324133,170
21323736,415
21319460,150
21318519,85
21312609,1368
21309949,480
21310867,925
21314412,421
21316305,560
21318184,464
21310030,781
21313816,480
21310697,464
21311172,362
21312109,348
21307888,219
21309024,297
21314679,199
21307930,306
21294815,144
21315942,191
21314661,124
21309065,104
21308296,288
21317890,234
21317530,99
21309907,98
21307142,163
21306229,132
21309174,190
21309518,106
21312456,213
21309033,278
21307136,162
21306597,604
21302498,640
21301467,336
21303181,570
21303446,266
21292291,235
21284669,388
21306423,477
21302412,563
21300962,57
21305911,122
21301890,106
21304277,352
21301851,87
21306609,115
21302347,196
21303173,238
21300191,106
21301784,148
21307308,426
21293523,89
21298751,143
21284353,119
21302244,189
21301877,55
21303003,66
21304889,147
21306612,178
21303869,65
21303618,289
21297462,697
21299546,665
21298383,416
21298227,287
21298233,301
21295942,254
21278790,199
21297639,249
21300476,73
21299086,244
21298472,198
21299768,143
21299960,184
21299032,172
21298341,162
21299102,184
21296167,165
21300188,192
21298920,107
21299610,112
21283835,97
21296261,69
21293941,132
21298470,132
21295097,70
21293859,93
21297499,133
21286192,67
21279018,77
21299127,80
21289827,1313
21293505,768
21293891,701
21289832,717
21294354,478
21292205,173
21292497,244
21288185,411
21293452,211
21293132,327
21294976,271
21287924,237
21270962,148
21285329,85
21287944,175
21272967,192
21290306,154
21288029,210
21290881,143
21287498,123
21268838,111
21288195,201
21288988,89
21278924,126
21279945,106
21293852,56
21268324,187
21288663,220
21287736,210
21295489,35
21281411,1519
21280205,668
21281525,596
21280352,903
21280918,436
21277580,496
21284770,296
21281025,427
21280202,403
21286806,341
21281042,355
21283791,188
21280092,320
21281724,250
21283838,196
21267283,180
21282647,200
21283994,157
21286319,139
21276984,242
21286104,94
21272322,262
21280429,296
21268467,108
21278839,272
21285145,107
21268579,174
21277690,130
21286973,59
21279366,223
21268389,1438
21274511,1166
21269877,802
21260888,505
21274980,261
21267963,559
21273016,359
21269614,349
21257529,318
21268162,543
21271212,282
21268287,271
21273269,258
21276544,299
21275890,115
21268780,229
21274247,91
21270515,181
21265838,266
21248380,99
21273645,224
21267606,167
21264169,114
21270424,245
21255618,85
21264814,132
21267281,303
21259434,111
21269795,348
21268192,182
21256640,1385
21258127,927
21257661,722
21260364,620
21263894,842
21254166,601
21263788,367
21259108,382
21260112,261
21258899,398
21258088,217
21257943,262
21260115,293
21250577,271
21258419,261
21259357,162
21259765,171
21262954,97
21257871,168
21249334,114
21262740,113
21255990,297
21256630,153
21253850,156
21264725,450
21244670,65
21253245,124
21250083,51
21256549,170
21257355,166
21249708,813
21252784,833
21245284,666
21253289,494
21251609,465
21248914,333
21244457,429
21241336,223
21250421,308
21249792,267
21241712,661
21244352,318
21251478,265
21253018,162
21250090,165
21246518,792
21240960,199
21253156,115
21245982,104
21250489,368
21252983,163
21251597,113
21245036,205
21252225,145
21252111,228
21234891,190
21243258,128
21252247,44
21244538,152
21243330,212
21242857,896
21241395,574
21243420,669
21240057,610
21238375,820
21230715,262
21241767,436
21229540,319
21235957,538
21238803,369
21235776,281
21239145,247
21241906,319
21241749,572
21241560,344
21237540,343
21243373,157
21232209,238
21240655,394
21238903,148
21242343,137
21239930,153
21242461,141
21238872,148
21237981,62
21237875,184
21239104,125
21229345,164
21242258,204
21241476,90
21231208,1288
21233041,1757
21231479,626
21212294,355
21234937,361
21234753,688
21233991,213
21234489,268
21233025,372
21234560,141
21229390,477
21235236,223
21230979,114
21229249,280
21232183,192
21230418,85
21235298,146
21231191,440
21232802,172
21230757,223
21228194,193
21232332,97
21234183,90
21231228,203
21207205,119
21233837,121
21230419,194
21234073,70
21234516,112
21230141,121
21224209,1310
21227961,1083
21227430,619
21216195,570
21205021,636
